t_s,dtw_open,env,fsm,gripper,fired
0.479,2078.94,94.4,PULSE,open,
0.544,2070.28,92.9,PULSE,open,
0.579,2003.71,90.7,PULSE,open,
0.628,1956.23,87.8,PULSE,open,
0.674,1929.97,86.6,PULSE,open,
0.717,1936.05,85.4,PULSE,open,
0.769,1889.94,83.3,PULSE,open,
0.817,1857.60,80.0,PULSE,open,
0.863,1850.77,78.6,PULSE,open,
0.909,1829.46,76.4,PULSE,open,
0.955,1747.08,71.8,PULSE,open,
1.003,1738.39,70.6,PULSE,open,
1.056,1718.09,71.4,PULSE,open,
1.095,1688.57,70.5,PULSE,open,
1.142,1683.62,72.2,PULSE,open,
1.187,1667.30,74.9,PULSE,open,
1.233,1667.46,77.8,PULSE,open,
1.278,1670.46,80.5,PULSE,open,
1.325,1708.48,82.8,PULSE,open,
1.385,1699.26,85.5,PULSE,open,
1.418,1755.60,86.7,PULSE,open,
1.485,1732.40,87.8,PULSE,open,
1.526,1766.57,85.3,PULSE,open,
1.575,1782.86,84.8,PULSE,open,
1.620,1811.51,84.0,PULSE,open,
1.665,1815.00,81.8,PULSE,open,
1.704,1806.44,83.2,PULSE,open,
1.759,1820.63,81.8,PULSE,open,
1.811,1778.81,79.5,PULSE,open,
1.852,1722.88,76.8,PULSE,open,
1.901,1633.68,74.3,PULSE,open,
1.947,1586.07,71.6,PULSE,open,
1.993,2364.30,68.6,PULSE,open,
2.039,2335.68,68.5,PULSE,open,
2.085,2287.75,66.1,PULSE,open,
2.139,2223.06,63.3,PULSE,open,
2.177,2173.18,61.4,PULSE,open,
2.278,2058.57,59.4,PULSE,open,
2.301,2028.27,59.4,PULSE,open,
2.335,2001.77,59.0,PULSE,open,
2.385,1964.57,61.6,PULSE,open,
2.427,1936.20,62.2,PULSE,open,
2.474,1907.49,63.0,PULSE,open,
2.517,1886.44,65.7,PULSE,open,
2.568,1876.62,69.6,PULSE,open,
2.614,1875.14,74.7,PULSE,open,
2.662,1882.02,79.5,PULSE,open,
2.713,1892.05,84.4,PULSE,open,
2.756,1904.78,85.6,PULSE,open,
2.805,1920.60,86.2,PULSE,open,
2.850,1928.60,84.7,PULSE,open,
2.897,1951.93,85.0,PULSE,open,
2.941,1975.53,85.5,PULSE,open,
2.989,2005.27,85.4,PULSE,open,
3.040,2041.47,84.2,PULSE,open,
3.077,2073.76,83.2,PULSE,open,
3.131,2131.38,84.6,PULSE,open,
3.175,2197.29,84.8,PULSE,open,
3.221,2286.28,83.9,PULSE,open,
3.267,2311.09,83.8,PULSE,open,
3.313,2320.55,84.5,PULSE,open,
3.364,2318.32,83.3,PULSE,open,
3.408,2303.97,82.0,PULSE,open,
3.457,2280.02,80.9,PULSE,open,
3.501,2248.60,78.8,PULSE,open,
3.548,2210.38,76.9,PULSE,open,
3.594,2157.45,74.4,PULSE,open,
3.639,2093.99,71.9,PULSE,open,
3.691,2002.78,70.6,PULSE,open,
3.733,1964.50,68.3,PULSE,open,
3.780,1888.18,66.0,PULSE,open,
3.825,1830.24,62.7,PULSE,open,
3.873,1745.26,60.3,PULSE,open,
3.920,1707.85,58.0,PULSE,open,
3.968,1636.63,53.8,PULSE,open,
4.019,1619.02,52.9,PULSE,open,
4.059,1598.12,51.8,PULSE,open,
4.108,1553.09,48.5,PULSE,open,
4.152,1519.18,46.7,PULSE,open,
4.200,1498.51,44.7,PULSE,open,
4.247,1497.13,44.7,PULSE,open,
4.292,1484.92,43.6,PULSE,open,
4.353,1503.22,42.6,PULSE,open,
4.400,1516.38,43.6,PULSE,open,
4.450,1503.50,41.1,PULSE,open,
4.488,1521.83,38.9,PULSE,open,
4.537,1532.49,34.1,PULSE,open,
4.582,1594.18,34.7,PULSE,open,
4.628,1617.23,31.3,PULSE,open,
4.674,1635.43,29.9,PULSE,open,
4.720,1643.24,30.8,PULSE,open,
4.771,1640.62,30.9,PULSE,open,
4.814,1632.10,29.8,PULSE,open,
4.863,1631.87,28.4,PULSE,open,
4.908,1628.71,27.2,PULSE,open,
4.956,1622.14,29.2,PULSE,open,
5.003,1607.45,25.9,PULSE,open,
5.049,1597.91,25.4,PULSE,open,
5.101,1585.65,25.9,PULSE,open,
5.141,1567.52,24.5,PULSE,open,
5.189,1548.87,23.1,REFRACTORY,open,
5.235,1531.53,24.4,REFRACTORY,open,
5.281,1511.55,24.5,REFRACTORY,open,
5.327,1487.46,26.2,REFRACTORY,open,
5.373,1464.78,26.6,REFRACTORY,open,
5.425,1439.77,28.7,REFRACTORY,open,
5.467,1419.64,28.1,REFRACTORY,open,
5.514,1398.02,27.5,REFRACTORY,open,
5.559,1374.28,27.3,REFRACTORY,open,
5.607,1354.05,27.3,REFRACTORY,open,
5.653,1325.82,26.7,REFRACTORY,open,
5.700,1292.44,25.9,REFRACTORY,open,
5.752,1268.30,27.4,REFRACTORY,open,
5.794,1253.12,27.9,REFRACTORY,open,
5.845,1236.69,29.6,REFRACTORY,open,
5.888,1227.34,28.7,REFRACTORY,open,
5.934,1207.74,28.0,REFRACTORY,open,
5.980,1189.08,28.5,REFRACTORY,open,
6.028,1169.28,30.4,REFRACTORY,open,
6.080,1151.75,31.3,REFRACTORY,open,
6.120,1129.92,29.1,REFRACTORY,open,
6.169,1119.20,28.7,REFRACTORY,open,
6.229,1119.71,30.0,REFRACTORY,open,
6.275,1105.80,28.0,REFRACTORY,open,
