t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.400,296.73,4337.04,2495.56,19.7,IDLE,open,
0.449,331.01,4303.90,2451.67,24.0,IDLE,open,
0.510,326.86,4189.21,2366.41,27.1,IDLE,open,
0.555,347.30,4229.20,2340.30,27.2,IDLE,open,
0.605,342.03,4174.78,2315.92,29.5,IDLE,open,
0.641,358.77,4121.36,2332.91,29.5,IDLE,open,
0.688,353.21,4141.73,2261.26,27.9,IDLE,open,
0.744,377.64,4116.41,2314.01,30.1,IDLE,open,
0.790,366.66,4094.28,2257.16,28.6,IDLE,open,
0.840,387.30,4081.89,2243.65,26.8,IDLE,open,
0.884,385.31,4072.47,2215.92,25.5,IDLE,open,
0.933,393.01,4060.50,2215.28,20.6,IDLE,open,
0.979,388.22,4055.90,2191.94,13.6,IDLE,open,
1.026,374.16,4082.53,2208.30,5.9,IDLE,open,
1.072,394.20,4088.14,2239.65,7.0,IDLE,open,
1.117,377.42,4067.35,2234.27,13.5,IDLE,open,
1.167,399.97,4026.30,2216.12,19.8,IDLE,open,
1.211,392.76,4000.25,2181.04,24.9,IDLE,open,
1.259,428.55,3957.55,2117.21,31.9,IDLE,open,
1.305,426.15,3896.83,2041.29,40.6,IDLE,open,
1.347,461.61,3749.36,2011.10,48.9,IDLE,open,
1.399,479.31,3671.92,2001.02,58.1,IDLE,open,
1.444,483.78,3632.96,2003.07,63.5,IDLE,open,
1.492,529.67,3599.72,2008.89,66.9,IDLE,open,
1.536,530.79,3572.03,2016.31,69.9,IDLE,open,
1.585,551.40,3545.94,2025.33,72.7,IDLE,open,
1.629,573.38,3511.06,2030.77,75.5,IDLE,open,
1.679,581.04,3484.10,2032.86,75.9,IDLE,open,
1.726,614.70,3435.73,2023.78,75.9,IDLE,open,
1.772,616.23,3393.81,2002.73,74.7,IDLE,open,
1.821,656.13,3347.05,1969.65,71.8,IDLE,open,
1.867,648.90,3299.07,1930.22,69.9,IDLE,open,
1.917,677.29,3257.34,1908.62,64.9,IDLE,open,
1.959,695.89,3252.20,1945.46,72.7,IDLE,open,
2.008,729.80,3284.62,1970.33,80.9,IDLE,open,
2.054,741.62,3319.10,1987.58,88.0,IDLE,open,
2.098,788.65,3328.10,2023.14,94.5,IDLE,open,
2.147,812.39,3346.59,2069.78,97.7,IDLE,open,
2.191,838.95,3316.43,2135.88,95.3,IDLE,open,
2.241,862.91,3259.21,2180.50,89.6,IDLE,open,
2.285,865.52,3192.77,2076.65,79.4,IDLE,open,
2.336,901.01,3167.19,2014.14,72.1,IDLE,open,
2.382,886.29,3070.01,1855.62,57.5,IDLE,open,
2.425,911.20,3051.26,1806.87,52.0,IDLE,open,
2.475,904.97,3053.63,1748.36,44.9,IDLE,open,
2.521,834.68,3072.76,1723.63,39.6,IDLE,open,
2.570,646.12,3092.26,1711.15,34.2,IDLE,open,
2.613,518.45,3126.96,1723.95,25.1,IDLE,open,
2.660,471.62,3156.21,1720.25,18.7,IDLE,open,
2.702,447.86,3172.22,1690.71,17.3,IDLE,open,
2.752,439.40,3172.75,1661.44,14.1,IDLE,open,
2.802,405.11,3143.40,1667.79,9.3,IDLE,open,
2.847,426.46,3151.33,1668.42,7.5,IDLE,open,
2.896,386.42,3163.70,1682.83,6.0,IDLE,open,
2.941,434.11,3206.47,1768.26,6.3,IDLE,open,
2.989,395.19,3243.25,1834.49,5.9,IDLE,open,
3.036,427.49,3285.57,1918.96,5.0,IDLE,open,
3.077,405.15,3320.31,1975.14,4.2,IDLE,open,
3.129,417.99,3363.58,2012.67,4.6,IDLE,open,
3.173,407.63,3389.00,2019.51,2.7,IDLE,open,
3.223,404.19,3444.65,2033.56,3.7,IDLE,open,
3.267,415.35,3536.16,2043.27,4.3,IDLE,open,
3.316,384.22,3607.38,2069.99,4.9,IDLE,open,
3.362,385.39,3764.05,2121.57,10.3,IDLE,open,
3.406,338.57,3804.32,2097.74,16.4,IDLE,open,
3.455,368.49,3863.57,2097.49,25.7,IDLE,open,
3.500,341.20,3924.61,2094.15,33.2,IDLE,open,
3.549,377.89,3752.49,2035.48,42.3,IDLE,open,
3.594,362.27,3607.97,2024.29,49.6,IDLE,open,
3.642,401.89,3471.35,2043.12,62.3,IDLE,open,
3.689,408.03,3425.77,2060.82,71.0,IDLE,open,
3.736,433.53,3390.32,2108.54,79.0,IDLE,open,
3.784,466.46,3378.91,2160.70,86.3,IDLE,open,
3.828,481.04,3371.90,2190.75,90.7,IDLE,open,
3.879,518.91,3301.23,2154.67,87.1,PULSE,open,
3.924,518.39,3281.11,2130.40,85.1,PULSE,open,
3.971,559.83,3204.04,2007.69,76.5,PULSE,open,
4.019,551.79,3129.99,1896.33,69.0,PULSE,open,
4.064,586.67,2999.12,1667.32,52.6,PULSE,open,
4.112,541.90,2992.98,1535.19,33.9,PULSE,open,
4.158,567.82,3019.23,1553.36,12.8,REFRACTORY,open,
4.207,536.86,3036.53,1581.69,6.7,REFRACTORY,open,
4.251,555.15,3001.30,1527.78,16.2,REFRACTORY,open,
4.300,538.16,2941.24,1429.05,26.6,REFRACTORY,open,
4.346,577.40,2884.62,1352.63,38.8,REFRACTORY,open,
4.391,594.04,2899.82,1336.81,41.2,REFRACTORY,open,
4.440,604.67,2900.31,1338.48,44.7,REFRACTORY,open,
4.485,621.92,2904.67,1369.05,44.7,REFRACTORY,open,
4.533,593.16,2926.10,1411.52,44.8,REFRACTORY,open,
4.578,634.07,2948.22,1440.80,45.1,REFRACTORY,open,
4.626,584.88,2975.98,1508.16,47.6,REFRACTORY,open,
4.676,634.86,3006.76,1580.23,51.5,REFRACTORY,open,
4.768,652.97,3082.69,1721.32,50.5,REFRACTORY,open,
4.814,616.16,3114.64,1782.17,47.3,REFRACTORY,open,
4.864,652.43,3158.79,1783.20,47.9,REFRACTORY,open,
4.908,631.40,3183.99,1776.47,45.4,REFRACTORY,open,
4.955,649.89,3255.61,1789.90,45.1,REFRACTORY,open,
5.001,644.16,3323.37,1815.72,46.0,REFRACTORY,open,
5.047,631.53,3540.70,1929.74,44.8,REFRACTORY,open,
5.094,675.64,3526.95,1894.18,45.2,REFRACTORY,open,
5.140,652.31,3489.79,1925.94,46.5,REFRACTORY,open,
5.188,715.10,3486.12,1909.92,44.9,REFRACTORY,open,
5.234,702.92,3495.46,1902.78,46.9,REFRACTORY,open,
5.281,818.65,3535.10,1936.12,48.0,REFRACTORY,open,
5.327,892.94,3602.36,2013.61,47.6,REFRACTORY,open,
5.375,1047.78,3621.24,2017.81,45.3,REFRACTORY,open,
5.420,1108.48,3619.72,2015.71,44.9,REFRACTORY,open,
5.468,1132.86,3620.94,2020.83,41.4,REFRACTORY,open,
5.516,1118.97,3636.15,2009.96,38.2,REFRACTORY,open,
5.561,1107.28,3652.02,2008.36,34.0,REFRACTORY,open,
5.609,1097.96,3681.31,2038.37,27.6,REFRACTORY,open,
5.655,974.91,3722.42,2054.82,20.8,REFRACTORY,open,
5.702,940.69,3739.00,2067.45,14.6,REFRACTORY,open,
5.747,871.69,3770.99,2076.43,9.5,REFRACTORY,open,
5.793,861.77,3786.04,2080.91,10.3,REFRACTORY,open,
5.843,825.17,3804.18,2084.93,6.6,REFRACTORY,open,
5.887,814.18,3811.56,2101.09,4.4,REFRACTORY,open,
5.937,775.48,3811.38,2108.67,8.3,IDLE,open,
5.982,771.50,3816.15,2116.53,4.6,IDLE,open,
6.028,738.82,3825.78,2126.11,3.7,IDLE,open,
6.076,704.18,3832.43,2135.05,3.4,IDLE,open,
6.122,682.06,3844.44,2140.12,2.0,IDLE,open,
6.171,622.87,3860.41,2146.24,2.5,IDLE,open,
6.213,619.30,3881.95,2185.86,3.6,IDLE,open,
6.263,533.55,3911.82,2206.06,5.6,IDLE,open,
6.310,521.31,3926.86,2209.92,6.9,IDLE,open,
6.355,454.69,3956.63,2204.17,9.3,IDLE,open,
6.402,463.45,3969.63,2230.14,7.7,IDLE,open,
6.447,420.92,4027.63,2265.44,7.0,IDLE,open,
6.498,415.28,4096.45,2293.97,8.3,IDLE,open,
6.541,390.11,4171.88,2336.38,8.3,IDLE,open,
6.607,380.92,4345.98,2447.36,8.1,IDLE,open,
6.665,335.04,4522.92,2585.94,10.5,IDLE,open,
6.706,354.54,4592.43,2648.21,10.6,IDLE,open,
6.747,337.76,4584.72,2711.52,11.2,IDLE,open,
6.807,342.80,4605.15,2735.42,10.9,IDLE,open,
6.853,320.81,4500.54,2639.93,13.3,IDLE,open,
6.898,321.04,4473.70,2613.21,14.7,IDLE,open,
6.946,326.38,4467.87,2609.89,13.7,IDLE,open,
6.991,311.80,4448.20,2591.86,14.7,IDLE,open,
7.041,337.70,4441.46,2585.74,11.6,IDLE,open,
7.086,313.86,4434.04,2577.96,12.1,IDLE,open,
7.134,344.12,4426.44,2566.87,12.9,IDLE,open,
7.179,309.41,4413.33,2559.13,13.6,IDLE,open,
7.225,337.18,4400.42,2546.17,13.5,IDLE,open,
7.274,313.66,4388.25,2540.73,12.7,IDLE,open,
7.320,338.90,4386.09,2533.73,11.0,IDLE,open,
7.369,332.04,4393.62,2546.83,9.5,IDLE,open,
7.401,350.18,4406.81,2560.80,9.6,IDLE,open,
7.463,396.07,4402.30,2567.99,8.5,IDLE,open,
7.509,422.94,4400.52,2571.85,8.8,IDLE,open,
7.552,541.58,4398.63,2574.83,7.3,IDLE,open,
7.604,522.08,4417.90,2574.65,5.9,IDLE,open,
7.649,542.04,4412.07,2578.73,5.7,IDLE,open,
7.699,491.59,4421.98,2581.70,6.2,IDLE,open,
7.731,511.29,4426.70,2581.59,5.0,IDLE,open,
7.792,452.73,4451.94,2584.00,4.1,IDLE,open,
7.823,454.99,4461.00,2584.59,3.3,IDLE,open,
7.882,421.75,4478.47,2596.26,3.5,IDLE,open,
7.930,383.04,4495.77,2612.89,2.7,IDLE,open,
7.964,370.13,4518.06,2619.59,4.0,IDLE,open,
8.026,321.02,4543.17,2643.71,2.5,IDLE,open,
8.069,309.27,4547.02,2650.74,1.9,IDLE,open,
8.109,277.09,4577.32,2652.03,2.4,IDLE,open,
8.164,278.78,4595.28,2661.39,3.5,IDLE,open,
8.208,267.55,4615.67,2677.84,2.5,IDLE,open,
8.251,302.07,4640.95,2737.06,3.8,IDLE,open,
8.292,276.45,4288.56,2455.36,12.7,IDLE,open,
8.351,719.22,3958.64,2566.68,318.7,PULSE,open,
8.396,633.74,3872.44,3237.23,305.1,PULSE,open,
8.446,749.87,2374.63,1930.36,131.5,PULSE,open,
8.480,694.74,1891.47,864.06,52.7,PULSE,open,
8.538,820.86,1909.50,984.31,109.9,PULSE,open,
8.586,875.70,2251.60,1319.73,214.6,PULSE,open,
8.631,974.41,2528.04,1746.25,239.8,PULSE,open,
8.680,1172.12,2734.82,2057.19,260.1,PULSE,open,
8.723,1066.48,2843.70,2369.97,239.9,PULSE,open,
8.772,1332.70,2162.25,2691.88,189.3,PULSE,open,
8.809,1160.96,1622.69,2577.70,153.0,PULSE,open,
